indicator,areacd,areanm,geography,observation,unit,measure,period,lower_confidence_interval_95,upper_confidence_interval_95,observation_status
Inward foreign direct investment,TLG2,Shropshire and Staffordshire,ITL Level 2,13018,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,ITL Level 2,37815,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,ITL Level 2,36976,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,ITL Level 2,35494,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,ITL Level 2,25355,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,ITL Level 2,39954,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,ITL Level 2,60354,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,ITL Level 2,60642,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,Combined Authority or City Region,60642,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,Combined Authority or City Region,60354,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,Combined Authority or City Region,39954,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,Combined Authority or City Region,35494,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,Combined Authority or City Region,36976,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,Combined Authority or City Region,37815,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000007,West Midlands,Combined Authority or City Region,25355,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLH,East of England,ITL Level 1,53318,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLH,East of England,ITL Level 1,86969,£ million,Pounds,2016-01-01/P1Y,,,
